,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__full_address,,TEXT,"Natl Univ Chekiang, Dept Phys, Meitan, Kweichow, PEOPLES R CHINA",0.00011726537153578548,53,74,,,"Natl Univ Chekiang, Dept Phys, Meitan, Kweichow, PEOPLES R CHINA",6,0.9998827346284642,0.0017952817689706989,False,111,0.00011726537153578548,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__organizations__@count,,TINYINT UNSIGNED,1,0.00011726537153578548,1,2,,,1,3,0.9998827346284642,0.0016074687588773396,False,254,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__organizations__organization,,VARCHAR(64),Natl Univ Chekiang,9.772114294648791e-05,18,34,,,Natl Univ Chekiang,3,0.9999022788570535,0.001372288026410031,False,51,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__suborganizations__@count,,TINYINT UNSIGNED,1,9.772114294648791e-05,1,2,,,1,3,0.9999022788570535,0.001372288026410031,False,254,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__suborganizations__suborganization,,VARCHAR(32),Dept Phys,7.817691435719032e-05,9,14,,,Dept Phys,4,0.9999218230856428,0.0011838250269209341,False,21,7.817691435719032e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__city,,VARCHAR(16),Meitan,0.00011726537153578548,6,9,,,Meitan,5,0.9998827346284642,0.001741439617890617,False,13,9.772114294648791e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__state,,VARCHAR(16),Kweichow,0.00011726537153578548,3,10,,,Kweichow,5,0.9998827346284642,0.001741439617890617,False,15,9.772114294648791e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__country,,VARCHAR(32),PEOPLES R CHINA,0.00011726537153578548,7,15,,,PEOPLES R CHINA,4,0.9998827346284642,0.0016780163974349134,False,22,7.817691435719032e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__@count,,TINYINT UNSIGNED,1,0.00011726537153578548,1,1,,,1,2,0.9998827346284642,0.0015312436380961543,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__@seq_no,,TINYINT UNSIGNED,1,0.00011726537153578548,1,1,,,1,2,0.9998827346284642,0.0015312436380961543,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__@role,,VARCHAR(16),author,0.00011726537153578548,6,6,,,author,2,0.9998827346284642,0.0015312436380961543,False,9,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__@addr_no,,TINYINT UNSIGNED,1,0.00011726537153578548,1,1,,,1,2,0.9998827346284642,0.0015312436380961543,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__display_name,,VARCHAR(32),"WANG, KC",0.00011726537153578548,6,12,,,"WANG, KC",6,0.9998827346284642,0.0017952817689706989,False,18,0.00011726537153578548,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__full_name,,VARCHAR(32),"WANG, KC",0.00011726537153578548,6,12,,,"WANG, KC",6,0.9998827346284642,0.0017952817689706989,False,18,0.00011726537153578548,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__names__name__wos_standard,,VARCHAR(32),"WANG, KC",0.00011726537153578548,6,12,,,"WANG, KC",6,0.9998827346284642,0.0017952817689706989,False,18,0.00011726537153578548,0.01,False
static_data__summary__names__name__@orcid_id,,VARCHAR(32),0000-0001-9640-1172,0.02486025876558652,19,19,,,0000-0001-7065-0779,904,0.9751397412344135,0.3699272520844932,False,28,0.01766798264472501,0.01,False
static_data__item__reviewed_work__rw_authors__@count,,TINYINT UNSIGNED,1,0.09404682797169996,1,12,,,1,11,0.9059531720283001,0.3872097246442545,False,254,0.0002149865144822734,0.01,False
static_data__item__reviewed_work__rw_authors__rw_author,,VARCHAR(64),"Moon, P",0.08159715436031739,5,37,,,"Linton, R",2576,0.9184028456396826,1.1910064871335035,False,55,0.05034593284603057,0.01,False
static_data__summary__names__name__suffix,,VARCHAR(4),SR,0.009107610522612672,1,3,,,I,10,0.9908923894773873,0.08344432302434895,False,4,0.00019544228589297581,0.01,False
static_data__contributors__@count,,TINYINT UNSIGNED,1,0.005785091662432084,1,3,,,1,4,0.9942149083375679,0.04525048583304471,False,254,7.817691435719032e-05,0.01,False
static_data__contributors__contributor__name__@seq_no,,TINYINT UNSIGNED,1,0.005394207090646132,1,1,,,1,2,0.9946057929093539,0.040641970283437134,False,254,3.908845717859516e-05,0.01,False
static_data__contributors__contributor__name__@role,,VARCHAR(32),researcher_id,0.005394207090646132,13,13,,,researcher_id,2,0.9946057929093539,0.040641970283437134,False,19,3.908845717859516e-05,0.01,False
static_data__contributors__contributor__name__@r_id,,VARCHAR(32),AGH-9427-2022,0.005218309033342454,11,13,,,GZG-5663-2022,185,0.9947816909666576,0.07749347178287885,False,19,0.0036156822890200525,0.01,False
static_data__contributors__contributor__name__@orcid_id,,VARCHAR(32),0000-0002-5554-6946,0.002052144001876246,19,19,,,0000-0002-1502-8431,73,0.9979478559981237,0.030549978391118206,False,28,0.0014267286870187233,0.01,False
static_data__contributors__contributor__name__display_name,,VARCHAR(64),"Berk, Michael",0.005394207090646132,5,27,,,"Miller, John J",193,0.9946057929093539,0.0802059386649242,False,40,0.003772036117734433,0.01,False
static_data__contributors__contributor__name__full_name,,VARCHAR(64),"Berk, Michael",0.005394207090646132,5,27,,,"Miller, John J",193,0.9946057929093539,0.0802059386649242,False,40,0.003772036117734433,0.01,False
static_data__contributors__contributor__name__first_name,,VARCHAR(32),Michael,0.005394207090646132,1,18,,,Michael,173,0.9946057929093539,0.07898625426597633,False,27,0.0033811515459484815,0.01,False
